Check In,Forecasted_Total
2022-12-18,1660.1177858792398
2022-12-25,2089.8527210507696
2023-01-01,2370.8775082636366
2023-01-08,2170.1664681755433
2023-01-15,1662.4879381605954
2023-01-22,1317.1792360157515
2023-01-29,1382.341282408092
2023-02-05,1646.9538762592817
2023-02-12,1714.7432178836289
2023-02-19,1441.4547855156839
2023-02-26,1049.9724471191835
2023-03-05,854.0576720411091
2023-03-12,950.742491418436
2023-03-19,1197.1218457865448
2023-03-26,1405.4399648229548
2023-04-02,1481.439328721473
2023-04-09,1402.393128255719
2023-04-16,1174.2674098105726
2023-04-23,875.21045445653
2023-04-30,679.2628270314
2023-05-07,726.0127248678317
2023-05-14,940.5439461898552
2023-05-21,1063.2670773585048
2023-05-28,931.9647834543625
2023-06-04,699.9318402030243
2023-06-11,676.2183356048959
2023-06-18,922.8167158017563
2023-06-25,1107.6830844029673
2023-07-02,874.6393790192851
2023-07-09,356.79990567596656
2023-07-16,193.53151017652294
2023-07-23,913.4735860046761
2023-07-30,2296.937406437259
2023-08-06,3442.943183218279
2023-08-13,3546.2306027478785
2023-08-20,2618.323184432464
2023-08-27,1434.954281481995
2023-09-03,806.0737368660058
2023-09-10,931.8742840777511
2023-09-17,1422.5924613262089
2023-09-24,1808.8923029066605
2023-10-01,1932.3603809863255
2023-10-08,1897.9109571521076
2023-10-15,1825.0077832473396
2023-10-22,1764.3020245910106
2023-10-29,1792.4633511892403
2023-11-05,2017.692357493317
2023-11-12,2405.7017402653473
2023-11-19,2682.7213057850213
2023-11-26,2552.367393338064
2023-12-03,2048.8644877548486
2023-12-10,1588.7230212697145
2023-12-17,1578.8105163887099
2023-12-24,1978.3960027757835
2023-12-31,2322.340747534242
2024-01-07,2209.975011769863
